age,ed,employ,address,income_transformed,debtinc,creddebt_transformed,othdebt_transformed,default
32,1,0,4,20000,3,263.4,336.6,1
22,2,0,1,35000,9,781.2,2368.8,1
32,2,12,3,63000,18.2,5549.54,5916.46,0
47,2,17,23,41000,9.5,455.72,3439.29,0
40,1,21,21,46000,6.2,966.83,1885.17,0
31,1,8,1,22000,6.7,369.97,1104.03,0
34,3,7,0,27000,2.2,125.33,468.67,0
52,4,13,17,234000,7.7,7387.38,10630.62,0
28,1,2,2,17000,2.5,199.33,225.68,1
38,3,15,18,63000,13.4,5090.53,3351.47,0
33,2,10,4,26000,3.1,30.63,775.37,0
39,2,9,12,32000,6.6,1429.82,682.18,0
47,3,23,11,115000,4,653.2,3946.8,0
36,2,11,8,49000,1.3,272.64,364.36,0
29,3,7,2,84000,13.6,6911.52,4512.48,1
48,4,14,10,59000,16.5,4935.65,4799.36,1
38,3,12,18,64000,5.8,894.59,2817.41,0
46,2,9,26,15000,4.3,14.84,630.17,0
27,3,5,4,42000,19.9,2707.99,5650.01,1
54,1,18,34,114000,8.5,3294.6,6395.4,0
27,4,0,0,25000,12.7,1419.23,1755.78,1
23,1,1,0,17000,1.6,11.7,260.3,0
41,1,23,2,91000,13.7,573.48,11893.52,0
24,1,3,5,15000,11.3,72.89,1622.12,1
28,1,9,0,22000,27.7,5283.5,810.5,1
26,1,0,0,14000,10.5,255.78,1214.22,0
24,1,8,0,17000,5.6,569.3,382.7,1
49,2,22,4,79000,7.3,288.35,5478.65,0
28,2,3,1,36000,8.6,383.9,2712.1,0
38,1,6,17,18000,13,131.04,2208.96,0
33,2,2,9,37000,4.5,834.17,830.84,0
26,1,8,4,25000,4.7,210.33,964.68,0
36,1,9,1,40000,9.8,1975.68,1944.32,0
37,3,16,14,50000,36.6,7320,10980,1
25,4,0,1,18000,33.4,2801.59,3210.41,1
29,1,9,2,33000,4.8,693.79,890.21,0
27,2,8,4,38000,6.9,364.46,2257.54,0
45,1,17,0,62000,15,2436.6,6863.4,0
37,1,9,8,57000,5.5,1357.46,1777.55,0
29,2,3,6,26000,6.1,537.65,1048.35,1
51,1,10,1,44000,13.2,4960.03,847.97,1
22,3,0,0,23000,8.4,372.88,1559.12,1
30,4,7,10,30000,15.7,263.76,4446.24,0
31,1,7,2,20000,12.3,110.7,2349.3,0
28,1,2,0,18000,14.8,1939.39,724.61,1
35,1,10,16,39000,5.7,217.85,2005.15,0
25,4,1,1,34000,8.5,132.94,2757.06,1
32,2,5,0,28000,14.8,2594.14,1549.86,1
33,1,2,10,24000,9.6,1041.41,1262.59,0
28,2,3,4,41000,25.1,5896.74,4394.26,1
46,3,4,17,73000,5.4,2223.29,1718.71,0
41,1,24,12,83000,14,6588.54,5031.46,0
42,2,11,5,73000,6.8,2869.19,2094.81,0
41,4,9,13,47000,5,437.1,1912.9,0
26,1,3,5,29000,25.7,2526.57,4926.43,1
47,1,27,8,113000,9.2,2380.68,8015.32,0
29,1,1,3,18000,25.6,1981.44,2626.56,1
34,1,3,14,36000,4.7,624.35,1067.65,0
36,1,7,2,43000,6.2,1039.74,1626.26,0
38,2,7,4,64000,3,650.88,1269.12,0
41,2,4,14,26000,19.2,1472.64,3519.36,1
46,1,9,23,31000,13.8,1617.08,2660.92,0
40,3,3,15,55000,16.5,1751.48,7323.53,1
44,2,17,0,129000,2.5,551.48,2673.53,0
35,3,10,15,39000,10.4,1602.12,2453.88,0
36,1,20,15,60000,5.4,1056.24,2183.76,0
28,2,0,3,30000,4.8,120.96,1319.04,1
29,2,6,7,18000,5.1,449.82,468.18,1
23,2,3,3,22000,11.4,1274.06,1233.94,1
41,2,7,17,63000,15.4,4637.56,5064.44,0
25,1,1,1,19000,6.9,190.1,1120.91,0
45,2,2,19,29000,5.4,443.18,1122.82,0
48,2,30,14,148000,7.2,3974.69,6681.31,0
38,1,18,7,45000,7,535.5,2614.5,0
29,1,6,4,46000,5.4,1169.96,1314.04,0
42,4,15,8,186000,3.6,2403.86,4292.14,0
31,1,11,12,47000,10.9,2863.76,2259.24,0
40,1,3,13,23000,6.9,409.45,1177.55,0
26,1,2,6,21000,19.8,1022.87,3135.13,0
25,1,6,6,22000,20.2,2262,2182,0
53,4,7,11,61000,7.9,1874.59,2944.41,0
50,3,18,27,102000,14.1,5781.56,8600.44,0
47,1,31,9,136000,23.1,14231.45,17184.55,1
23,1,1,0,21000,8.4,1210.1,553.9,1
37,3,12,8,83000,4.1,319.88,3083.12,0
41,1,24,15,100000,11.5,5060,6440,0
28,2,0,7,29000,13.3,2148.35,1708.65,1
31,1,7,11,41000,30.7,2995.71,9591.29,1
41,2,6,1,19000,6.3,124.49,1072.51,0
36,1,7,17,40000,9.9,1694.88,2265.12,0
41,1,1,16,19000,4.4,241.6,594.4,0
53,2,16,31,44000,5.6,1333.02,1130.98,0
31,2,6,5,25000,11.5,2331.63,543.38,0
28,2,5,6,25000,2.9,338.58,386.43,0
48,1,28,25,70000,12,4334.4,4065.6,0
23,2,0,1,42000,3.9,1018.84,619.16,1
31,1,11,6,34000,6.8,298.25,2013.75,0
27,1,6,6,43000,4.9,882.83,1224.17,0
43,1,11,17,37000,1.3,179.89,301.11,0
29,2,5,7,28000,18.7,2125.82,3110.18,0
53,1,6,7,27000,6.4,594.43,1133.57,1
38,1,4,9,19000,13.6,1245.49,1338.51,0
30,1,12,10,38000,8.5,171.19,3058.81,0
28,3,2,0,20000,9.4,233.12,1646.88,1
36,1,11,2,33000,32.5,1265.55,9459.45,0
48,1,15,5,60000,2.1,321.3,938.7,0
31,1,12,9,24000,6.6,441.94,1142.06,0
35,1,16,10,57000,10.5,1143.14,4841.87,0
50,1,4,4,23000,12.5,140.88,2734.13,0
42,2,12,9,55000,15,2532.75,5717.25,0
40,1,2,3,28000,7.1,184.88,1803.12,0
37,2,0,13,31000,0.9,118.02,160.98,1
31,3,6,8,54000,2.8,402.19,1109.81,0
38,1,11,13,35000,8,1265.6,1534.4,0
35,1,15,1,77000,10.6,5501.19,2660.81,0
44,1,24,10,101000,5.6,2992.02,2663.98,0
44,2,21,14,113000,13.2,3192.02,11723.98,0
33,1,0,12,23000,0.9,77.42,129.58,0
35,1,7,14,29000,4.9,264.31,1156.69,0
36,3,10,4,43000,13,961.48,4628.52,0
23,2,3,4,24000,6.3,551.88,960.12,0
27,1,0,7,18000,12.8,582.91,1721.09,0
34,1,6,1,20000,1.2,42.48,197.52,0
35,1,0,5,34000,11.1,1369.96,2404.04,1
24,2,4,4,20000,3.7,324.12,415.88,0
48,1,30,8,101000,6.4,1874.56,4589.44,0
26,2,8,1,40000,11.8,443.68,4276.32,0
40,1,6,9,36000,2.1,390.85,365.15,1
34,1,9,8,48000,9.3,419.62,4044.38,0
35,1,17,4,42000,3,93.24,1166.76,0
30,1,7,2,33000,25.4,1165.1,7216.9,1
20,1,4,0,14000,9.7,200.98,1157.02,1
36,4,1,17,30000,11.5,324.3,3125.7,0
21,1,1,1,16000,6.3,141.12,866.88,0
34,1,18,10,53000,10.5,840.32,4724.69,0
35,1,7,5,39000,16.1,1701.61,4577.39,1
35,3,1,4,20000,7.9,853.2,726.8,0
34,1,10,1,33000,10.3,2501.66,897.34,1
33,1,12,12,68000,10.8,1365.98,5978.02,0
30,1,4,2,18000,10.7,227.27,1698.73,0
24,2,0,5,16000,7.3,24.53,1143.47,0
47,1,31,8,253000,7.2,9308.38,8907.62,0
53,1,0,26,27000,28.9,2754.46,5048.54,1
22,3,0,2,20000,4.7,219.02,720.98,0
48,2,6,1,66000,12.1,2315.94,5670.06,0
36,2,6,15,27000,4.6,262.06,979.94,1
29,2,6,4,21000,11.5,369.5,2045.51,0
33,1,15,3,32000,7.6,491.26,1940.74,0
45,1,19,22,77000,8.4,2302.61,4165.39,0
37,1,12,14,44000,14.7,2994.68,3473.32,0
